id, h, r, threshold, offset
33, 0.179, 1300.0, 0.0, 0.0
34, 0.179, 2300.0, 0.0, 0.0
35, 0.179, 3300.0, 0.0, 0.0
36, 0.179, 4300.0, 0.0, 0.0
37, 0.179, 5300.0, 0.0, 0.0
38, 0.179, 6300.0, 0.0, 0.0
39, 0.179, 7300.0, 0.0, 0.0
40, 0.179, 8300.0, 0.0, 0.0
41, 0.179, 9300.0, 0.0, 0.0
42, 0.179, 9300.0, 0.0, 0.0
43, 0.179, 9300.0, 0.0, 0.0
44, 0.179, 1300.0, 0.0, 0.0
45, 0.179, 2300.0, 0.0, 0.0
46, 0.179, 3300.0, 0.0, 0.0
47, 0.179, 4300.0, 0.0, 0.0
48, 0.179, 5300.0, 0.0, 0.0
49, 0.179, 6300.0, 0.0, 0.0
50, 0.179, 7300.0, 0.0, 0.0
51, 0.179, 8300.0, 0.0, 0.0
52, 0.179, 9300.0, 0.0, 0.0
53, 0.179, 10300.0, 0.0, 0.0
54, 0.179, 20000.0, 0.0, 0.0
55, 0.179, 30000.0, 0.0, 0.0
56, 0.179, 40000.0, 0.0, 0.0
57, 0.179, 50000.0, 0.0, 0.0
58, 0.179, 60000.0, 0.0, 0.0
59, 0.179, 70000.0, 0.0, 0.0
60, 0.179, 80000.0, 0.0, 0.0
61, 0.179, 90000.0, 0.0, 0.0
62, 0.179, 1000.0, 0.0, 0.0
63, 0.179, 100.0, 0.0, 0.0
64, 0.179, 200.0, 0.0, 0.0
65, 0.179, 300.0, 0.0, 0.0
66, 0.179, 400.0, 0.0, 0.0
67, 0.179, 600.0, 0.0, 0.0
68, 0.179, 20.0, 0.0, 0.0
69, 0.179, 50.0, 0.0, 0.0
70, 0.179, 5.0, 0.0, 0.0
71, 0.179, 15.0, 0.0, 0.0
