id, h, r, threshold, offset
33, 0.179, 1300.0, 0.10416666666666607, 0.19844218740000522
34, 0.179, 2300.0, 0.11458333333333304, 0.20080399695000506
35, 0.179, 3300.0, 0.10937499999999911, 0.20085424895000523
36, 0.179, 4300.0, 0.10416666666666607, 0.19914570545000504
37, 0.179, 5300.0, 0.10937499999999911, 0.2031249999999991
38, 0.179, 6300.0, 0.10937499999999911, 0.2031249999999991
39, 0.179, 7300.0, 0.10937499999999911, 0.19753766610000478
40, 0.179, 8300.0, 0.10937499999999911, 0.1982411840500047
41, 0.179, 9300.0, 0.10937499999999911, 0.2031249999999991
42, 0.179, 9300.0, 0.10937499999999911, 0.2031249999999991
43, 0.179, 9300.0, 0.10416666666666607, 0.19791666666666607
44, 0.179, 1300.0, 0.10937499999999911, 0.2031249999999991
45, 0.179, 2300.0, 0.10937499999999911, 0.1977889212500051
46, 0.179, 3300.0, 0.10937499999999911, 0.19791666666666607
47, 0.179, 4300.0, 0.10937499999999911, 0.198241182750005
48, 0.179, 5300.0, 0.10937499999999911, 0.19894470055000502
49, 0.179, 6300.0, 0.10416666666666607, 0.19791666666666607
50, 0.179, 7300.0, 0.10416666666666607, 0.1980904302500047
51, 0.179, 8300.0, 0.10416666666666607, 0.19587937535000458
52, 0.179, 9300.0, 0.10937499999999911, 0.19791666666666607
53, 0.179, 10300.0, 0.11458333333333304, 0.19653264155000505
# 54, 0.179, 20000.0, 0.10937499999999911, 0.1941708332500043
# 55, 0.179, 30000.0, 0.10937499999999911, 0.19597987920000434
# 56, 0.179, 40000.0, 0.10937499999999911, 0.19683414940000438
# 57, 0.179, 50000.0, 0.10937499999999911, 0.19899495495000374
# 58, 0.179, 60000.0, 0.10937499999999911, 0.2031249999999991
# 59, 0.179, 70000.0, 0.10937499999999911, 0.2031249999999991
# 60, 0.179, 80000.0, 0.11979166666666607, 0.19791666666666607
# 61, 0.179, 90000.0, 0.10937499999999911, 0.20060299635000345
62, 0.179, 1000.0, 0.20833333333333304, 0.19791666666666607
63, 0.179, 100.0, 0.21354166666666607, 0.2031249999999991
64, 0.179, 200.0, 0.22395833333333304, 0.2031249999999991
65, 0.179, 300.0, 0.22395833333333304, 0.20833333333333304
66, 0.179, 400.0, 0.1718749999999991, 0.20833333333333304
67, 0.179, 600.0, 0.2187499999999991, 0.20833333333333304
68, 0.179, 20.0, 0.1562499999999991, 0.2031249999999991
69, 0.179, 50.0, 0.1562499999999991, 0.2031249999999991
70, 0.179, 5.0, 0.1562499999999991, 0.2031249999999991
71, 0.179, 15.0, 0.1562499999999991, 0.2031249999999991
