...
f,e,u
30000,5.08,4.02
31000,5.08,4.03
32000,5.08,4.09
33000,5.09,4.13
34000,5.04,4.2
35000,5.01,4.18
36000,5.03,4.25
37000,5.03,4.24
38000,4.98,4.31
39000,5.03,4.31
40000,5.03,4.36
41000,4.94,4.35
42000,4.94,4.35
43000,4.91,4.4
44000,4.91,4.4
45000,4.91,4.4
46000,4.96,4.51
47000,4.96,4.5
48000,4.88,4.5
49000,4.96,4.46
50000,4.9,4.52
51000,4.9,4.52
52000,4.9,4.51
53000,4.85,4.51
54000,4.85,4.51
55000,4.9,4.51
56000,4.9,4.51
57000,4.9,4.52
58000,4.94,4.46
59000,4.84,4.4
60000,4.9,4.29
61000,4.96,4.13
62000,5.03,3.85
63000,5.08,3.47
64000,5.14,3.31
65000,5.14,3.42
66000,5.16,3.65
67000,5.09,3.8
68000,5.01,3.98
69000,5.03,4.09
70000,5.03,4.13
71000,5.03,4.18
72000,4.94,4.35
73000,4.91,4.4
74000,4.91,4.35
75000,4.96,4.4
76000,4.9,4.4
77000,4.9,4.4
78000,4.88,4.4
79000,4.88,4.43
80000,4.9,4.46
81000,4.9,4.52
82000,4.9,4.52
83000,4.97,4.51
84000,4.9,4.58
85000,4.9,4.58
86000,4.9,4.57
87000,4.9,4.57
88000,4.9,4.57
89000,4.81,4.57
90000,4.81,4.57
91000,4.81,4.57
92000,4.82,4.57
93000,4.82,4.57
94000,4.83,4.57
95000,4.83,4.57
