f,e,u,phi_deg,r
30000,5.08,4.02,-33.8,200
31000,5.08,4.03,-33.2,200
32000,5.08,4.09,-33.5,200
33000,5.09,4.13,-32.6,200
34000,5.04,4.2,-31.7,200
35000,5.01,4.18,-31,200
36000,5.03,4.25,-30.5,200
37000,5.03,4.24,-29.9,200
38000,4.98,4.31,-28.6,200
39000,5.03,4.31,-27.1,200
40000,5.03,4.36,-26.3,200
41000,4.94,4.35,-26.31,200
42000,4.94,4.35,-25.5,200
43000,4.91,4.4,-25.2,200
44000,4.91,4.4,-24.4,200
45000,4.91,4.4,-23.4,200
46000,4.96,4.51,-22.2,200
47000,4.96,4.5,-21.7,200
48000,4.88,4.5,-22,200
49000,4.96,4.46,-20.2,200
50000,4.9,4.52,-22,200
51000,4.9,4.52,-22,200
52000,4.9,4.51,341,200
53000,4.85,4.51,342,200
54000,4.85,4.51,343,200
55000,4.9,4.51,345,200
56000,4.9,4.51,347,200
57000,4.9,4.52,348,200
58000,4.94,4.46,349,200
59000,4.84,4.4,352,200
60000,4.9,4.29,352,200
61000,4.96,4.13,356,200
62000,5.03,3.85,357,200
63000,5.08,3.47,355,200
64000,5.14,3.31,358,200
65000,5.14,3.42,340,200
66000,5.16,3.65,335,200
67000,5.09,3.8,334,200
68000,5.01,3.98,336,200
69000,5.03,4.09,334,200
70000,5.03,4.13,336,200
71000,5.03,4.18,336,200
72000,4.94,4.35,337,200
73000,4.91,4.4,338,200
74000,4.91,4.35,338,200
75000,4.96,4.4,340,200
76000,4.9,4.4,340,200
77000,4.9,4.4,341,200
78000,4.88,4.4,341,200
79000,4.88,4.43,341,200
80000,4.9,4.46,340,200
81000,4.9,4.52,340,200
82000,4.9,4.52,341,200
83000,4.97,4.51,342,200
84000,4.9,4.58,343,200
85000,4.9,4.58,343,200
86000,4.9,4.57,344,200
87000,4.9,4.57,344,200
88000,4.9,4.57,344,200
89000,4.81,4.57,344,200
90000,4.81,4.57,344,200
91000,4.81,4.57,345,200
92000,4.82,4.57,345,200
93000,4.82,4.57,344,200
94000,4.83,4.57,344,200
95000,4.83,4.57,345,200
